trip_name,trip_category_detail,trip_address,trip_times,place_page,trip_phone,info_content,place_category_group
신라스테이 광화문,신라스테이,서울 종로구 삼봉로 71 G타워 (우)03150,-,www.shillastay.com/gwanghwamun,02-6060-9000,none,숙소
JW메리어트동대문스퀘어서울,메리어트호텔,서울 종로구 청계천로 279 (우)03198,-,www.instagram.com/jwmarriott_dongdaemun,02-2276-3000,none,숙소
이비스앰배서더호텔 인사동,앰배서더호텔,서울 종로구 삼일대로30길 31 (우)03132,-,ibis.ambatel.com/insadong,02-6730-1101,주차,숙소
노블관광호텔,베니키아 호텔,서울 종로구 율곡로6길 13-3 (우)03131,-,www.noblehotel.co.kr,02-742-4025,none,숙소
포시즌스호텔 서울,호텔,서울 종로구 새문안로 97 (우)03183,매일 00:00 ~ 24:00,www.fourseasons.com/kr/seoul,02-6388-5000,주차,숙소
서머셋팰리스 서울,호텔,서울 종로구 율곡로2길 7 (우)03143,-,www.hotelsouthkorea.com/somerset-palace-seoul,02-6730-8888,none,숙소
호텔아트리움 종로,호텔,서울 종로구 창경궁로 106 (우)03130,월~금 10:00 ~ 18:00 (상담시간),hotelatrium.co.kr,02-767-9800,none,숙소
오라카이 인사동 스위츠,호텔,서울 종로구 인사동4길 18 (우)03163,-,insa.orakaihotels.com,02-6262-8888,none,숙소
오라카이대학로호텔,호텔,서울 종로구 율곡로 180 (우)03127,-,dh.orakaihotels.com,02-6353-7700,none,숙소
나인트리프리미어호텔 인사동,호텔,서울 종로구 인사동길 49 (우)03145,-,www.ninetreehotels.com/nth3,02-6917-3099,none,숙소
서울앤호텔 동대문,호텔,서울 종로구 종로66가길 21 (우)03115,-,hoteln.modoo.at,02-6365-0008,WIFI 주차,숙소
목시 서울 인사동,호텔,서울 종로구 돈화문로11길 37 (우)03139,-,www.marriott.com/selox,02-758-1700,WIFI 주차,숙소
호텔베뉴지,호텔,서울 종로구 청계천로 117 (우)03192,-,www.hotelvenueg.co.kr,02-2223-6500,none,숙소
메이플레이스호텔,호텔,서울 종로구 율곡로 179 (우)03081,-,www.mayplace.co.kr,02-742-8080,none,숙소
호텔더디자이너스 종로점,호텔,서울 종로구 수표로 89-8 (우)03191,-,blog.naver.com/thedesigners,0507-1396-7474,none,숙소
아미드호텔 서울,호텔,서울 종로구 인사동5길 38 (우)03149,매일 00:00 ~ 24:00,amidhotel.com,02-731-1000,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
IBC호텔,호텔,서울 종로구 난계로 241 (우)03116,-,www.hotelibc.com,02-2250-3000,none,숙소
르몽호텔,"여관,모텔",서울 종로구 종로16길 28 (우)03191,-,www.lemonghotel.com,02-2267-4190,WIFI,숙소
글루호텔,호텔,서울 종로구 율곡로 228 (우)03123,매일 00:00 ~ 24:00,www.gluehotel.com,02-2024-8400,WIFI 주차 휠체어사용 흡연실,숙소
N285 호텔 인사동,호텔,서울 종로구 삼일대로 423 (우)03163,매일 00:00 ~ 24:00,www.hotelinsadong.com,02-725-0285,WIFI,숙소
호텔 쿠레타케소 인사동 서울,호텔,서울 종로구 인사동길 20-9 (우)03163,-,www.instagram.com/hotel.kuretakeso.insadong,02-738-6100,none,숙소
호텔디엠 본사,호텔,서울 종로구 난계로29길 73 (우)03115,-,www.hotel-dm.com,02-2236-3144,none,숙소
호텔썬비,호텔,서울 종로구 인사동7길 26 (우)03149,-,www.hotelsunbee.com,02-730-3451,none,숙소
부티크호텔K 종로점,"여관,모텔",서울 종로구 삼일대로 388-7 (우)03191,-,boutiquehotelkjn.modoo.at,02-2268-2959,none,숙소
누누모텔,"여관,모텔",서울 종로구 수표로22길 6 (우)03139,매일 00:00 ~ 24:00,jongnunu.modoo.at,02-766-2121,none,숙소
바티카호텔,호텔,서울 종로구 청계천로 341 (우)03120,매일 00:00 ~ 24:00,vaticahotel1.modoo.at,02-741-7080,WIFI 동물출입 주차 놀이방 흡연실,숙소
k world호텔,호텔,서울 종로구 수표로18길 28 (우)03192,매일 00:00 ~ 24:00,kworld1.modoo.at,0507-1317-9370,none,숙소
센트럴호텔,호텔,서울 종로구 청계천로 137 (우)03193,-,www.seoulcentralhotel.com,02-6365-6500,주차,숙소
다나호텔,"여관,모텔",서울 종로구 수표로18길 10 (우)03192,-,hoteldana.jalib.site,02-2278-9993,WIFI 주차,숙소
준오호텔,"여관,모텔",서울 종로구 인사동16길 6 (우)03146,-,blog.naver.com/junohhotel1,-,주차,숙소
아마레호텔,"여관,모텔",서울 종로구 수표로22길 7 (우)03139,매일 00:00 ~ 24:00,soamarehotel.modoo.at,02-747-0566,none,숙소
더포스트호텔,"여관,모텔",서울 종로구 수표로18길 15-1 (우)03192,-,theposthotel.modoo.at,02-734-1511,주차,숙소
메이커스X이쁘다,호텔,서울 종로구 돈화문로11길 33 (우)03139,-,www.hotelsouthkorea.com/jongro-makers-x-pretty-hotel,02-747-5000,WIFI 동물출입 주차 놀이방 흡연실,숙소
호스텔토미,게스트하우스,서울 종로구 돈화문로 66 (우)03134,-,www.hosteltommy.co.kr,02-744-6844,none,숙소
호텔라와,호텔,서울 종로구 수표로26길 3 (우)03139,매일 00:00 ~ 24:00,hotelrawa.com,02-741-4455,none,숙소
호텔더메이,"여관,모텔",서울 종로구 수표로26길 10 (우)03139,매일 00:00 ~ 24:00,hotelthemay1.modoo.at,02-766-8690,none,숙소
호텔리안,호텔,서울 종로구 수표로18길 26 (우)03192,-,www.hotelsouthkorea.com/rian-hotel-seoul,-,none,숙소
크라운호텔,호텔,서울 종로구 삼일대로30길 9 (우)03132,-,-,02-3676-8000,none,숙소
루미아호텔,"여관,모텔",서울 종로구 난계로29길 19-11 (우)03116,-,www.hotelsouthkorea.com/jongno-dongdaemun-lumia-hotel,-,none,숙소
브라운도트호텔 서울종로점,"여관,모텔",서울 종로구 수표로22길 5 (우)03139,매일 00:00 ~ 24:00,-,-,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,숙소
호텔팝리즈프리미어,"여관,모텔",서울 종로구 수표로22길 16 (우)03139,-,hotelpop.modoo.at,02-764-1004,none,숙소
나포레호텔,호텔,서울 종로구 수표로18가길 17 (우)03192,-,www.hotelnafore.co.kr,02-2277-6511,none,숙소
수송게스트하우스,게스트하우스,서울 종로구 율곡로4길 59 (우)03150,-,www.soosong.kr,02-738-7251,none,숙소
헤르츠호텔,"여관,모텔",서울 종로구 돈화문로11길 44 (우)03133,매일 00:00 ~ 24:00,jongnohertz.modoo.at,0507-1428-5613,none,숙소
호텔다다 익선,"여관,모텔",서울 종로구 삼일대로32가길 33 (우)03132,-,-,02-744-4647,none,숙소
호텔앳홈,호텔,서울 종로구 종로31길 40 (우)03129,매일 00:00 ~ 24:00,www.hotelsouthkorea.com/hotel-at-home,02-762-4343,흡연실,숙소
호스텔하루,게스트하우스,서울 종로구 청계천로 61 대한방직협회빌딩 10~12층 (우)03189,-,hostelharu.com,02-732-1101,none,숙소
MG호텔,"여관,모텔",서울 종로구 청계천로 63-3 (우)03189,매일 00:00 ~ 24:00,jnmghotel.modoo.at,0507-1475-5011,none,숙소
씨티파크모텔,"여관,모텔",서울 종로구 돈화문로11가길 89 (우)03131,-,www.hotelsouthkorea.com/city-park-hotel,02-744-4197,none,숙소
락고재 서울 본관,한옥숙소,서울 종로구 계동길 49-23 (우)03056,-,www.rakkojae.com,02-742-3410,none,숙소
호텔야자 종로점,"여관,모텔",서울 종로구 수표로28길 9-1 (우)03133,-,-,02-763-8333,none,숙소
레몬트리호텔,"여관,모텔",서울 종로구 돈화문로5가길 39 (우)03139,매일 00:00 ~ 24:00,www.lemontreehotel.co.kr,02-762-5722,WIFI,숙소
비즈,"여관,모텔",서울 종로구 삼일대로26길 7 (우)03133,-,www.hotelsouthkorea.com/hotel-biz-jongro-insadong,-,WIFI 주차,숙소
하이게스트하우스,게스트하우스,서울 종로구 인사동길 30-9 (우)03148,-,www.hotelsouthkorea.com/hi-guesthouse-insadong,02-732-4731,none,숙소
헤리티지31호텔,"여관,모텔",서울 종로구 삼일대로17길 20-3 (우)03190,-,heritage31.modoo.at,0507-1318-7510,none,숙소
호텔동양장,"여관,모텔",서울 종로구 종로58길 12 (우)03114,매일 00:00 ~ 24:00,jrdongyangjang.modoo.at,02-2256-9500,WIFI 흡연실,숙소
보눔1957,호텔,서울 종로구 북촌로 53 (우)03052,-,www.bonum1957.com,02-763-1957,none,숙소
호스텔코리아 창덕궁점,게스트하우스,서울 종로구 돈화문로 85 (우)03131,매일 00:00 ~ 24:00,cdg.hostelkorea.com,070-4705-1900,WIFI,숙소
SLA,호텔,서울 종로구 창경궁로 158 (우)03081,-,www.seoulloft.com,02-745-1181,none,숙소
호스텔코리아 오리지널,게스트하우스,서울 종로구 종로65길 20-12 (우)03112,-,original.hostelkorea.com,02-762-7406,none,숙소
호텔아비숑,"여관,모텔",서울 종로구 율곡로6길 19 (우)03131,-,hotelaubeson.modoo.at,02-741-9906,none,숙소
더가든호텔,호텔,서울 종로구 돈화문로11나길 63 (우)03132,-,-,-,none,숙소
심플스테이,"여관,모텔",서울 종로구 수표로26길 11 (우)03139,매일 00:00 ~ 24:00,www.instagram.com/hotelsimplestay,02-744-2765,none,숙소
24게스트하우스 동대문시장점,게스트하우스,서울 종로구 종로46길 22 5층 (우)03119,-,www.hotelsouthkorea.com/24-guesthouse-dongdaemun-market,02-742-6200,WIFI,숙소
호텔컬리넌,호텔,서울 종로구 수표로26길 6 (우)03139,-,-,-,none,숙소
서울YMCA관광호텔,호텔,서울 종로구 종로 69 (우)03164,-,www.ymca.or.kr/hotel,02-734-6884,주차,숙소
어반스테이 부티크 익선,숙박,서울 종로구 돈화문로11나길 53 (우)03132,-,www.urbanstay.co.kr,02-1644-7694,none,숙소
동화킴스호텔,호텔,서울 종로구 평창문화로 136 (우)03010,-,kimshotel.co.kr,02-379-0520,주차,숙소
글로벌인 동대문 시티데이즈인,호텔,서울 종로구 종로48길 12 나라빌딩 (우)03119,-,www.globalinn.co.kr,02-744-4268,none,숙소
슬로우스테이다,게스트하우스,서울 종로구 성균관로5길 55-3 (우)03073,-,slowstayda.com,02-766-8822,none,숙소
파이브호텔 종로,호텔,서울 종로구 창경궁로16가길 9 (우)03128,-,www.hotelsouthkorea.com/hotel-pai-jongno,02-3671-6900,none,숙소
코리아게스트하우스,게스트하우스,서울 종로구 삼청로4길 12-1 4층 (우)03053,-,-,02-744-2000,none,숙소
인터넷모텔,"여관,모텔",서울 종로구 종로36가길 16 (우)03197,-,blog.naver.com/w3529h,02-2279-3714,none,숙소
궁게스트하우스,게스트하우스,서울 종로구 율곡로8길 67 (우)03134,매일 00:00 ~ 24:00,www.instagram.com/gung_seoul,010-9678-5590,none,숙소
엠앤럭키호텔,"여관,모텔","서울 종로구 수표로22길 38 지하1층, 1~10층 (우)03139",-,www.hotelsouthkorea.com/jongro-mlucky-hotel,0507-1412-5568,WIFI,숙소
북촌빈관by락고재,한옥숙소,서울 종로구 북촌로11가길 10 3층 (우)03052,매일 08:00 ~ 21:00,www.rkj.co.kr,02-742-3410,none,숙소
서울달빛게스트하우스 동대문점,게스트하우스,"서울 종로구 종로54길 9-10 2,3층 (우)03121",-,www.hotelsouthkorea.com/seoul-dalbit-dongdaemun-guesthouse,02-745-1986,none,숙소
G하우스,게스트하우스,서울 종로구 백석동길 187 (우)03020,-,jghouse.kr,02-376-5120,none,숙소
인사동미니호텔,게스트하우스,서울 종로구 인사동14길 26 (우)03146,-,www.hotelsouthkorea.com/mini-hotel-insa,02-733-1355,WIFI,숙소
미담한옥게스트하우스,한옥숙소,서울 종로구 북촌로6길 25-6 (우)03056,매일 00:00 ~ 24:00,www.midamhouse.com,010-3143-7096,none,숙소
