,place_name,place_category_detail,comment_user,comment_star,comment_time,comment_content
0,어니언 안국점,카페,맛집탐색,60,2023.10.09.,"디저트류 거의 다 맛있음.
매장 내부 테이블 줄과 계산 줄이 구분되어 있지만 직원이 안 알려줌. 
사람 너무 많은데 계산 느림."
1,어니언 안국점,카페,서울사람,20,2023.10.07.,계산이 너무 느림.... 사람 훨씬 많은 성심당도 계산 대기에 40분이 걸리진 않음...
2,어니언 안국점,카페,후이링,100,2023.10.05.,
3,어니언 안국점,카페,🌙,60,2023.10.05.,여기 음식은 먹을만한데 몸집 5XL 사이즈에 눈썹없고 역겹게 생긴 루이비통 슬리퍼 신는 목소리 큰 여장남자만 출입 안하면 더 번창할 것 같네요🐷🚫
4,어니언 안국점,카페,Jaehwan Kenny Shim,40,2023.09.30.,풍경이 이뻐요 ㅎㅎ^^
5,어니언 안국점,카페,sxrxmntz,80,2023.09.20.,"The atmosphere are nice and the people was friendly, they have a great variety of differents desserts but was empty when they aren’t have more customers (It was first hour during the week)"
6,어니언 안국점,카페,Locke Phan,20,2023.09.18.,Waited an hour to get a seat here and turns out we have to wait for another line to order food. Wasted the whole morning for this place!
7,어니언 안국점,카페,k,80,2023.09.14.,직원도 친절하고 커피 맛있습니다
8,어니언 안국점,카페,ilililiiill,20,2023.09.11.,빵은 다른 카페들과 비슷한 맛. 매장운영 시스템이 엉망에 직원 숫자가 부족해서 두시간씩 기다리는게 이해가지 않음. 한국에서 외국체험 하고싶으면 가보세요^^
9,어니언 안국점,카페,Minikira,100,2023.09.04.,Amazing place!  Many drink and pastry options
10,어니언 안국점,카페,김찬수,100,2023.09.04.,진짜 분위기 너무 좋고 무엇보다도 다들 너무 친절하시다 특히 음료를 흘렸는데도 너무 친절하게 치워주시고 정말 너무너무 서비스가 좋았다. 재방문 의사 100%
11,어니언 안국점,카페,j2,100,2023.09.02.,"여기 직원분들이 너무너무너무 친절하십니다! 사소한 부분들일수도 있지만 말투가 다 이쁘시고 행동도 모든분들이 상냥하셔서 기분 좋은 시간 보내고 왔습니다

보통 계산할때 받는 서비스 응대는 짜증만 안섞여 있으면 괜찮다고 생각하는데 여기는 모두 다 밝고 + 초긍정적이셨던게 정말 기억에 남을 정도에요..!! 남은 빵 포장 부탁했을때도 너어어무 친절하셔서 “뭐지 이 상냥함은..!?” 하고 멈칫했어요

서비스는 정말 처음부터 끝까지 모든게 좋았습니다!!

맛있는거: 
소금빵/피스타치오/바나나초코/명란아보카도
아이스바닐라빈 라떼🤍

살짝 비추:
차이티 밀크티
초코 스콘 

: 커피나 밀크티 말고도 과일 에이드 같은 상큼하고 시원한 음료도 있으면 좋을꺼같아요!
더보기"
12,어니언 안국점,카페,🧿,100,2023.08.31.,
13,어니언 안국점,카페,ㆍ,100,2023.08.29.,너무기다려서그렇지. 자주가는곳이에요
14,어니언 안국점,카페,☆ユム☆ 아유미,100,2023.08.26.,한옥카페 데이트코스 아메리카노
15,어니언 안국점,카페,now&here,80,2023.08.11.,보기만해도 맛있는 빵이 가득 맛도 최고~~
16,어니언 안국점,카페,뚜둥,100,2023.08.09.,"소금빵, 초코소금빵 완전 맛있어요!!"
17,어니언 안국점,카페,아스파,60,2023.08.08.,"맛이랑 분위기 나쁘진 않은데
그냥 인스타 맛집 정도"
18,어니언 안국점,카페,맛있을 때만 후기씀,60,2023.08.01.,"같이 1시간 반 대기한 외국인 관광객에게 미안해 지는 맛이었다...^^
예쁘긴 예뻐요. 직원분들 겁나 친절하심
빵이나 음료 맛은 아쉬움"
19,어니언 안국점,카페,푸다뱅,80,2023.07.30.,"북촌의 분위기를 잘 살린 어니언 카페, 빵 종류도 다양하고 앉아서 놀기 좋은 카페입니다."
20,어니언 안국점,카페,이유진 • (Zenya) •,100,2023.07.22.,Beautiful and delicious 😋
21,어니언 안국점,카페,Dam,100,2023.07.21.,
22,어니언 안국점,카페,바람의열두방향,60,2023.07.19.,한옥 멋스럽고 분위기는 최고! 그러나 관광지를 방불케 하는 인파로 지치는 곳! 빵 맛이 아쉬워요
23,어니언 안국점,카페,빵처돌이,80,2023.07.17.,직원분들 친절하시고 빵도 생각보다 맛있어요!
24,어니언 안국점,카페,.,80,2023.07.14.,
25,어니언 안국점,카페,haco,60,2023.07.14.,"그냥 사람만 많고 서비스 안좋아요~
다신 안갈듯"
26,어니언 안국점,카페,Hana Escobedo,60,2023.07.10.,
