,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
0,어니언 안국점,카페,서울 종로구 계동길 5 (우)03059,월~금 07:00 ~ 22:00,www.instagram.com/cafe.onion,070-7543-2123,#데이트코스 #한옥카페,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
1,노티드 안국,디저트카페,서울 종로구 북촌로 6-3 1층 (우)03059,매일 10:00 ~ 21:00,knotted-order.com,070-7755-9377,#한옥카페 #카카오페이,"WIFI, 동물출입, 주차, 휠체어사용"
2,안녕인사동,테마카페,서울 종로구 인사동길 49 (우)03145,매일 10:00 ~ 22:00,www.안녕인사동.com,02-6954-2910,None,주차
3,블루보틀 삼청 카페,카페,서울 종로구 북촌로5길 76 1~3층 (우)03053,매일 09:00 ~ 20:30,www.bluebottlecoffeekorea.com,1533-6906,#카카오페이,"WIFI, 동물출입, 휠체어사용, 놀이방, 흡연실"
4,포비 광화문점,카페,서울 종로구 종로3길 17 광화문D타워 1층 21호 (우)03155,월~금 07:30 ~ 21:30,www.fourb.co.kr,02-2251-8125,None,주차
5,차마시는 뜰,전통찻집,서울 종로구 북촌로11나길 26 1층 (우)03052,화~금 12:00 ~ 21:00,www.instagram.com/cha.teul,02-722-7006,#멜론핫플리 #데이트코스 #한옥카페 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
6,테라로사 광화문점,커피전문점,서울 종로구 종로1길 50 (우)03142,월~금 07:30 ~ 21:00,www.terarosa.com,None,#대형카페 #로스팅전문 #핸드드립전문점,주차
7,산모퉁이,카페,서울 종로구 백석동길 153 (우)03020,매일 11:00 ~ 20:50,www.sanmotoonge.co.kr,02-391-4737,#데이트코스 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
8,스태픽스,카페,서울 종로구 사직로9길 22 1층 102호 (우)03027,매일 10:00 ~ 21:00,www.instagram.com/staffpicks_official,0507-1341-2055,#애견동반 #애견동반식당 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
9,아키비스트,카페,서울 종로구 효자로13길 52 1층 (우)03042,매일 11:00 ~ 21:00,instagram.com/cafearchivist,02-738-1517,#멜론핫플리,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
10,학림다방,카페,서울 종로구 대학로 119 2층 (우)03079,매일 10:00 ~ 22:50,www.hakrim.pe.kr,02-742-2877,#핸드드립전문점,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
11,부빙,디저트카페,서울 종로구 창의문로 136 (우)03020,수~일 13:00 ~ 19:30,www.instagram.com/ice_boobing,02-394-8288,None,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
12,프릳츠 원서점,디저트카페,서울 종로구 율곡로 83 1층 (우)03058,매일 10:00 ~ 20:30,fritz.co.kr,02-747-8101,#데이트코스 #빈티지분위기 #이동약자접근 #한옥카페 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
13,도트블랭킷,카페,서울 종로구 윤보선길 22 1층 (우)03060,"월,화,수,목,금,일 10:00 ~ 20:00",app.catchtable.co.kr/ct/shop/gotblanket_anguk,0507-1431-2226,#멜론핫플리 #감성카페 #브런치카페 #제로페이,"주차, 흡연실"
14,개뿔,갤러리카페,"서울 종로구 낙산성곽서1길 26 1,2층 (우)03088",매일 10:00 ~ 22:00,None,02-765-2019,#갤러리카페 #데이트코스 #루프탑있는 #제로페이,"동물출입, 주차, 휠체어사용"
15,청수당 베이커리,디저트카페,서울 종로구 돈화문로11나길 31-13 (우)03133,매일 10:30 ~ 21:00,instagram.com/cheongsudang_,None,#분위기좋은 #한옥카페 #핸드드립전문점 #제로페이,"WIFI, 동물출입, 주차"
16,카페 레이어드 안국점,디저트카페,서울 종로구 북촌로2길 2-3 (우)03059,월~금 08:00 ~ 22:00,www.instagram.com/cafe_layered,None,#데이트코스,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
