,place_name,place_link,place_page
0,어니언 안국점,https://place.map.kakao.com/853028118,https://www.instagram.com/cafe.onion
1,노티드 안국,https://place.map.kakao.com/1974266862,https://knotted-order.com/
2,안녕인사동,https://place.map.kakao.com/1779571274,http://www.xn--o70bt1cn3s2seb6c.com/
3,블루보틀 삼청 카페,https://place.map.kakao.com/353512935,https://www.bluebottlecoffeekorea.com/
4,포비 광화문점,https://place.map.kakao.com/27187492,https://www.fourb.co.kr/
5,차마시는 뜰,https://place.map.kakao.com/8082652,https://www.instagram.com/cha.teul/
6,테라로사 광화문점,https://place.map.kakao.com/24725284,http://www.terarosa.com/
7,산모퉁이,https://place.map.kakao.com/7912367,http://www.sanmotoonge.co.kr/
8,스태픽스,https://place.map.kakao.com/1508329235,http://www.instagram.com/staffpicks_official
9,아키비스트,https://place.map.kakao.com/1429224581,https://instagram.com/cafearchivist
10,학림다방,https://place.map.kakao.com/8143287,http://www.hakrim.pe.kr/
11,부빙,https://place.map.kakao.com/20459372,https://www.instagram.com/ice_boobing
12,프릳츠 원서점,https://place.map.kakao.com/1154772851,http://fritz.co.kr/
13,도트블랭킷,https://place.map.kakao.com/320882660,https://app.catchtable.co.kr/ct/shop/gotblanket_anguk
14,개뿔,https://place.map.kakao.com/890843625,none
15,청수당 베이커리,https://place.map.kakao.com/78911659,https://instagram.com/cheongsudang_
16,카페 레이어드 안국점,https://place.map.kakao.com/826692169,https://www.instagram.com/cafe_layered/
17,나무사이로,https://place.map.kakao.com/11016313,http://www.namusairo.com/
18,포비브라이트 광화문점,https://place.map.kakao.com/281666038,https://fourb.co.kr/
19,H라운지,https://place.map.kakao.com/967168196,https://www.instagram.com/seochon_hlounge/
20,밀크홀1937 종로점,https://place.map.kakao.com/1711700322,https://www.instagram.com/milkhall1937
21,카페 하이웨스트 익선점,https://place.map.kakao.com/2084457534,https://instagram.com/cafe_highwaist
22,대충유원지 인왕산,https://place.map.kakao.com/1882706147,https://www.instagram.com/daechungpark_inwangsan
23,뜰안,https://place.map.kakao.com/7858535,http://instagram.com/cafe_innergarden
24,카페이마,https://place.map.kakao.com/8045991,none
25,반쥴,https://place.map.kakao.com/10405822,https://www.instagram.com/banjul__cafe
26,결,https://place.map.kakao.com/517442171,https://www.beanbrothers.co.kr/
27,라카페갤러리,https://place.map.kakao.com/17382138,http://www.racafe.kr/
28,로코랩,https://place.map.kakao.com/971978748,https://instagram.com/locolabcoffee
29,서울서둘째로잘하는집,https://place.map.kakao.com/7941905,none
30,한옥찻집,https://place.map.kakao.com/1154343797,https://instagram.com/hanok.cafe_insadong
31,가배도 삼청점,https://place.map.kakao.com/594338477,https://www.instagram.com/gbdcoffee/
32,애즈라이크,https://place.map.kakao.com/1041123432,https://www.instagram.com/aslike_/
33,코피티암커피 경복궁점,https://place.map.kakao.com/26964717,http://kopitiam.co.kr/
34,클럽에스프레소,https://place.map.kakao.com/9544927,http://www.clubespresso.co.kr/
35,제이히든하우스,https://place.map.kakao.com/1182434312,https://www.instagram.com/j.hiddenhouse
36,내자상회,https://place.map.kakao.com/212413668,https://www.instagram.com/naeja_and_co/
37,더숲초소책방,https://place.map.kakao.com/1693563906,http://www.forest6.co.kr/
38,헤이커피,https://place.map.kakao.com/1837149680,https://instagram.com/hey_____coffee
39,카페키이로,https://place.map.kakao.com/468528939,https://www.instagram.com/ki___iro
40,타셴,https://place.map.kakao.com/13603557,none
41,커피스트,https://place.map.kakao.com/8105618,http://coffeest.com/
42,펠트커피 광화문점,https://place.map.kakao.com/977211586,http://feltcoffee.com/
43,커피한약방 혜화점,https://place.map.kakao.com/1670739315,none
44,KOTTON SEOUL,https://place.map.kakao.com/127029191,https://instagram.com/kotton.seoul
45,스타벅스 종로R점,https://place.map.kakao.com/1784996243,http://www.starbucks.co.kr/
46,카페온화 익선점,https://place.map.kakao.com/1742096339,none
47,미어캣파크 혜화점,https://place.map.kakao.com/1616152867,https://blog.naver.com/meerkatpark
48,블루보틀 광화문 카페,https://place.map.kakao.com/146946502,https://www.instagram.com/bluebottlekorea/
49,스타벅스 광화문점,https://place.map.kakao.com/7961649,http://www.starbucks.co.kr/
50,동백양과점 익선점,https://place.map.kakao.com/630916358,http://www.instagram.com/dongbaek_official
51,대오서점,https://place.map.kakao.com/18454377,none
52,도토리가든 안국점,https://place.map.kakao.com/374133761,https://www.instagram.com/dotori__seoul
53,mk2,https://place.map.kakao.com/15815825,https://instagram.com/cafemk2
54,더피아노,https://place.map.kakao.com/190917721,http://www.instagram.com/thepiano_official
55,테르트르카페,https://place.map.kakao.com/1848966218,https://instagram.com/tertre_cafe
56,마띠에르,https://place.map.kakao.com/782133904,https://instagram.com/official_matiere_cafe
57,스모어마켓 토이하우스2,https://place.map.kakao.com/1631841657,https://www.instagram.com/smoremarket/
58,베어,https://place.map.kakao.com/589900795,https://www.instagram.com/bearcafe.new/
59,사직커피,https://place.map.kakao.com/543695567,http://www.instagram.com/sazikcoffee
60,어니언 4호점,https://place.map.kakao.com/1021356734,https://instagram.com/onion.gwangjang
61,그린마일커피 북촌점,https://place.map.kakao.com/1245067143,http://greenmilecoffee.com/
62,식물,https://place.map.kakao.com/26404597,https://www.instagram.com/sikmul/
63,카페 에무,https://place.map.kakao.com/1598870515,http://www.emuartspace.com/
64,헤르만의정원,https://place.map.kakao.com/2134782133,https://www.instagram.com/hermannsgarden/
65,천년동안도 종각,https://place.map.kakao.com/1352752034,https://app.catchtable.co.kr/ct/shop/chunnyun.jonggak
66,빌리엔젤 대학로점,https://place.map.kakao.com/1382305273,http://www.billyangel.co.kr/
67,평창동의 봄 카페,https://place.map.kakao.com/27341875,none
68,칠린,https://place.map.kakao.com/1067900892,https://www.instagram.com/chillin_cafe_bar/
69,카페다오,https://place.map.kakao.com/27321598,https://caffedaoh.modoo.at/
70,카페첫만남,https://place.map.kakao.com/22763366,https://cafefirsttime.modoo.at/
71,커피한잔,https://place.map.kakao.com/11831528,https://blog.naver.com/hgbj78
72,와이엔,https://place.map.kakao.com/1870696527,https://www.instagram.com/yyyyynnn_cafe/
73,하프커피 안국점,https://place.map.kakao.com/2069685746,https://www.instagram.com/halff_coffeeroasters
74,소하염전,https://place.map.kakao.com/1130146507,https://www.instagram.com/sohasaltpond/
75,소진담 안녕인사동점,https://place.map.kakao.com/1443952279,https://www.instagram.com/sojindam_anyounginsadong/
76,커피브론즈,https://place.map.kakao.com/16874884,https://www.instagram.com/coffeebronze_official
77,더쌍화,https://place.map.kakao.com/308983214,http://thessanghwa.co.kr/
78,서화커피,https://place.map.kakao.com/1223984349,https://www.instagram.com/seohwa_coffee/
79,부빙 북촌점,https://place.map.kakao.com/1464651629,https://www.instagram.com/ice_boobing/
80,플리퍼스 익선점,https://place.map.kakao.com/1959516004,https://www.instagram.com/flippers.kr
81,더마틴,https://place.map.kakao.com/1791652938,https://www.instagram.com/the__martin__/
82,호아드카페&갤러리,https://place.map.kakao.com/1159708430,https://www.instagram.com/hoard_official/
83,아티스타,https://place.map.kakao.com/588374088,https://instagram.com/im_artista.cafe
84,사직동그가게,https://place.map.kakao.com/14095755,http://blog.naver.com/rogpashop
85,카페종로시장,https://place.map.kakao.com/2066672094,http://instagram.com/cafe_jongno_sijang
86,텅,https://place.map.kakao.com/253722326,https://www.instagram.com/tung_seoul/
87,제비꽃다방,https://place.map.kakao.com/24944966,https://www.facebook.com/jv.davant
88,스타벅스 종로3가점,https://place.map.kakao.com/17351323,http://www.starbucks.co.kr/
89,타스카페,https://place.map.kakao.com/1008989718,none
90,카페드람브르,https://place.map.kakao.com/14578875,none
91,스타벅스 경복궁역점,https://place.map.kakao.com/12690667,http://www.starbucks.co.kr/
92,설빙 서울종각점,https://place.map.kakao.com/24178754,http://www.sulbing.com/
93,투썸플레이스 광화문점,https://place.map.kakao.com/18677957,http://www.twosome.co.kr/
94,일월일일,https://place.map.kakao.com/1877004477,http://www.instagram.com/1o1o_hh
95,그레인바운더리,https://place.map.kakao.com/1835543637,http://grainboundary21.modoo.at/
96,스타벅스 인사점,https://place.map.kakao.com/8430510,http://www.starbucks.co.kr/
97,스타벅스 종각점,https://place.map.kakao.com/8405079,http://www.starbucks.co.kr/
98,스타벅스 안국점,https://place.map.kakao.com/25115113,http://www.starbucks.co.kr/
99,익선주택,https://place.map.kakao.com/48003525,https://instagram.com/iksun_jutaek
100,브라운에비뉴,https://place.map.kakao.com/295738267,https://www.instagram.com/brown_avenue/
101,카페온,https://place.map.kakao.com/1570833372,https://www.instagram.com/on_iksun/
102,가비아노,https://place.map.kakao.com/8108237,none
103,회화나무,https://place.map.kakao.com/261669543,none
104,오얏꽃,https://place.map.kakao.com/696177330,https://www.instagram.com/oyatt_kkot
105,통인스윗,https://place.map.kakao.com/85503217,https://www.instagram.com/tonginsweet/
106,커피원,https://place.map.kakao.com/145128148,https://instagram.com/coffeeone.official
107,스노브 대학로점,https://place.map.kakao.com/26451323,none
108,아마츄어작업실 청계점,https://place.map.kakao.com/1551175922,https://linkfly.to/amateurcompany
109,담장옆에 국화꽃 안녕인사동점,https://place.map.kakao.com/998204957,https://www.instagram.com/ccot_insa/
110,블루보틀 삼청 한옥,https://place.map.kakao.com/409019077,https://app.catchtable.co.kr/ct/shop/bluebottlesamcheonghanok
111,폴바셋 광화문점,https://place.map.kakao.com/20174469,http://www.baristapaulbassett.co.kr/
112,셜록홈즈 대학로점,https://place.map.kakao.com/1244045579,http://sherlock-holmes.co.kr/
113,티테라피 행랑점,https://place.map.kakao.com/12611094,http://teatherapy.com/
114,스타벅스 광화문D타워점,https://place.map.kakao.com/27030449,http://www.starbucks.co.kr/
115,우드앤브릭 케이트윈타워점,https://place.map.kakao.com/153504350,none
116,다리치카페,https://place.map.kakao.com/1064173233,none
117,럼버잭,https://place.map.kakao.com/20941365,none
118,스펙터,https://place.map.kakao.com/707668630,http://www.instagram.com/club_spectre
119,그라운드62,https://place.map.kakao.com/656948782,https://www.instagram.com/ground62_/
120,낙원역,https://place.map.kakao.com/404984737,https://instagram.com/nakwonst
121,스페이스코르,https://place.map.kakao.com/1516188458,http://instagram.com/space.cor
122,스타벅스 혜화역점,https://place.map.kakao.com/1033782082,http://www.starbucks.co.kr/
123,카페알베르게,https://place.map.kakao.com/80159168,http://www.instagram.com/cafealbergue
124,파네트 크루아상팩토리,https://place.map.kakao.com/821514313,none
125,커피방앗간,https://place.map.kakao.com/13612324,none
126,투썸플레이스 종로3가역점,https://place.map.kakao.com/24579066,http://www.twosome.co.kr/
127,카페트레블,https://place.map.kakao.com/27226023,https://cafetravel.modoo.at/
128,삼청빙수,https://place.map.kakao.com/1992526797,https://app.catchtable.co.kr/ct/shop/samcheongbingsu
129,슬로스텝,https://place.map.kakao.com/25977363,none
130,오설록티하우스 북촌점,https://place.map.kakao.com/1502729906,https://www.osulloc.com/
131,마당플라워카페,https://place.map.kakao.com/320348303,https://www.instagram.com/madangflowercafe/
132,스타벅스 마로니에공원점,https://place.map.kakao.com/12108451,http://www.starbucks.co.kr/
133,라디오엠 삼청점,https://place.map.kakao.com/20035255,https://www.facebook.com/radiom.co.kr
134,빌리엔젤 셀렉트 광화문점,https://place.map.kakao.com/1294601835,http://www.billyangel.co.kr/
135,서울커피상회,https://place.map.kakao.com/716586132,none
136,투썸플레이스 종각역점,https://place.map.kakao.com/23258602,http://www.twosome.co.kr/
137,카페골목숲,https://place.map.kakao.com/804621746,none
138,키미아트 키미카페,https://place.map.kakao.com/9476523,https://www.instagram.com/kimicafe_2003
139,반짝반짝빛나는,https://place.map.kakao.com/21356316,none
140,통의동단팥,https://place.map.kakao.com/24962459,none
141,TXT커피,https://place.map.kakao.com/783445002,https://www.instagram.com/txtcoffee
142,치즈인더스트리,https://place.map.kakao.com/1362678997,https://instagram.com/cheeseindustry
143,오설록 티하우스 현대미술관점,https://place.map.kakao.com/22400951,http://www.osulloc.com/
144,수수커피 디타워점,https://place.map.kakao.com/206172834,none
145,미스터힐링 대학로점,https://place.map.kakao.com/444370777,http://misterhealing.com/
146,스타벅스 삼청동점,https://place.map.kakao.com/25115112,http://www.starbucks.co.kr/
147,스타벅스 동묘앞역점,https://place.map.kakao.com/1442885240,http://www.starbucks.co.kr/
148,커브드커피,https://place.map.kakao.com/1989531220,none
149,프루티에,https://place.map.kakao.com/1850990815,https://instagram.com/fruitier_jh
150,할리스 세종로점,https://place.map.kakao.com/24812138,http://www.hollys.co.kr/
151,학림커피,https://place.map.kakao.com/15419388,none
152,스타벅스 주얼리시티점,https://place.map.kakao.com/7962128,http://www.starbucks.co.kr/
153,경인미술관 전통다원,https://place.map.kakao.com/21233626,http://www.kyunginart.co.kr/kor/blue/sub01.asp
154,스타벅스 종로관수점,https://place.map.kakao.com/18691076,http://www.starbucks.co.kr/
155,타이거타이거,https://place.map.kakao.com/1640534397,http://www.instagram.com/tigertiger_seoul
156,폴루이트,https://place.map.kakao.com/1499522186,http://www.foluite.com/
157,메르깟,https://place.map.kakao.com/1326627074,https://app.catchtable.co.kr/ct/shop/mercat
158,레종데트르,https://place.map.kakao.com/114971922,https://instagram.com/raisondetre_dessert
159,이음,https://place.map.kakao.com/1064802781,https://www.teaimporter.kr/
160,스타벅스 종로평창동점,https://place.map.kakao.com/1846455949,http://www.starbucks.co.kr/
161,미스터힐링 종각역점,https://place.map.kakao.com/2095929750,http://misterhealing.com/
162,마농트로포,https://place.map.kakao.com/18122637,https://instagram.com/_manontroppo_
163,감꽃당,https://place.map.kakao.com/923427859,none
164,카페낙타,https://place.map.kakao.com/2046162386,https://www.instagram.com/daily_camel_/
165,커피빈 대학로마로니에점,https://place.map.kakao.com/17101532,http://www.coffeebeankorea.com/
166,스타벅스 성대입구점,https://place.map.kakao.com/7961756,http://www.starbucks.co.kr/
167,번트 서울,https://place.map.kakao.com/1829417602,https://app.catchtable.co.kr/ct/shop/burntseoul
168,카페이드라,https://place.map.kakao.com/22046582,none
169,카페느티,https://place.map.kakao.com/26896555,none
170,스타벅스 정부서울청사R점,https://place.map.kakao.com/1626917734,http://www.starbucks.co.kr/
171,페이퍼마쉐,https://place.map.kakao.com/236480957,https://www.instagram.com/paper_mache40/
172,소꿉놀이,https://place.map.kakao.com/27277291,http://www.hidenseek.co.kr/
173,비트포비아 대학로점,https://place.map.kakao.com/1432484184,http://www.xphobia.net/
174,투썸플레이스 종로알파빌딩점,https://place.map.kakao.com/323328500,http://www.twosome.co.kr/
175,투썸플레이스 종로5가역점,https://place.map.kakao.com/19615597,http://www.twosome.co.kr/
176,카페마마스 광화문점,https://place.map.kakao.com/19237495,http://cafemamas.co.kr/
177,설빙 대학로점,https://place.map.kakao.com/24662038,http://www.sulbing.com/
178,도이창카페,https://place.map.kakao.com/1133399907,none
179,스타벅스 북촌로점,https://place.map.kakao.com/26410050,http://www.starbucks.co.kr/
180,스타벅스 독립문역점,https://place.map.kakao.com/752042017,http://www.starbucks.co.kr/
181,스타벅스 적선점,https://place.map.kakao.com/8404389,http://www.starbucks.co.kr/
182,로우루프,https://place.map.kakao.com/205855651,https://instagram.com/cafe_lowroof
183,스타벅스 대학로점,https://place.map.kakao.com/20046345,http://www.starbucks.co.kr/
184,라끌레,https://place.map.kakao.com/8284191,https://lacle.modoo.at/
185,프리시즌,https://place.map.kakao.com/1463160835,http://www.instagram.com/preseason_official/
186,월영당 서울,https://place.map.kakao.com/1647661190,http://www.instagram.com/wolyeongdang
187,낫컴플리트,https://place.map.kakao.com/2015397398,https://www.instagram.com/notcmplt
188,온그라운드 지상소,https://place.map.kakao.com/26887803,none
189,이엔갤러리,https://place.map.kakao.com/1684219944,http://www.engallery.kr/
