,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
0,경복궁,"고궁,궁",서울 종로구 사직로 161 (우)03045,"월,수,목,금,토,일 09:00 ~ 18:00",www.royalpalace.go.kr,02-3700-3900,#나들이 #단풍명소 #벚꽃명소 #포토존,"동물출입, 주차"
1,청와대 본관,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,www.opencheongwadae.kr,None,None,none
2,북한산둘레길 6구간평창마을길,북한산둘레길,서울 종로구 평창동,None,www.knps.or.kr/portal/dulegil/bukhansan/index.do,02-900-8085,None,none
6,북촌한옥마을,"관광,명소",서울 종로구 북촌로 53 (우)03052,월~토 10:00 ~ 17:00,bukchon.seoul.go.kr,02-2133-1372,#나들이 #데이트코스,주차
7,광화문,문,서울 종로구 사직로 161 (우)03045,매일 09:00 ~ 18:00,None,02-3700-3901,#나들이,주차
8,광화문광장,광장,서울 종로구 세종로 1-68,None,gwanghwamun.seoul.go.kr,02-120,#포토존,none
9,청계천,하천,서울 종로구 서린동 148,None,www.sisul.or.kr/open_content/cheonggye,None,#나들이,none
10,창덕궁,"고궁,궁",서울 종로구 율곡로 99 (우)03072,월요일,www.cdg.go.kr/default.jsp,02-3668-2300,#나들이 #단풍명소 #벚꽃명소 #포토존,none
11,인사동거리,테마거리,서울 종로구 관훈동,None,www.insadong.info,None,#나들이 #단풍명소,none
12,쌈지길,"관광,명소",서울 종로구 인사동길 44 (우)03146,매일 10:30 ~ 20:30,blog.naver.com/ssamzigil,02-736-0088,#포토존,none
13,흥인지문,문,서울 종로구 종로 288 (우)03119,None,None,02-2148-1114,#나들이 #벚꽃명소,none
14,창경궁,"고궁,궁",서울 종로구 창경궁로 185 (우)03072,화~일 09:00 ~ 21:00,cgg.cha.go.kr,02-762-4868,#나들이 #단풍명소 #벚꽃명소 #이동약자접근 #포토존,"주차, 휠체어사용"
15,석파정,문화유적,서울 종로구 부암동 산 16-1,수~일 11:00 ~ 17:00,www.seoulmuseum.org,02-395-0100,#나들이 #단풍명소 #포토존,"동물출입, 주차, 휠체어사용, 흡연실"
16,인왕산 수성동계곡,계곡,서울 종로구 옥인동 179-1,None,None,None,#나들이 #단풍명소 #물놀이 #산책로,놀이방
17,인왕산,산,서울 종로구 옥인동 산 3-39,None,None,None,#벚꽃명소 #일출명소,none
18,열린송현녹지광장,광장,서울 종로구 송현동 48-9,None,None,None,#단풍명소 #포토존 #해바라기,"WIFI, 동물출입, 주차, 휠체어사용, 흡연실"
19,익선동한옥거리,테마거리,서울 종로구 익선동,None,None,None,#나들이 #포토존,none
20,돈의문박물관마을,"관광,명소",서울 종로구 송월길 14-3 (우)03178,화~일 10:00 ~ 19:00,www.dmvillage.info,02-739-6994,#포토존,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
21,서촌한옥마을,"관광,명소",서울 종로구 통의동,None,None,None,#벚꽃명소,none
22,종묘,"사당,제단",서울 종로구 종로 157 (우)03135,"월,수,목,금,토,일 09:00 ~ 18:00",jm.cha.go.kr,02-765-0195,#나들이 #단풍명소 #산책로 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
23,다이나믹메이즈 서울인사동점,테마파크,서울 종로구 인사동길 12 대일빌딩 지하1층 (우)03163,매일 11:00 ~ 18:00,None,02-2034-0600,#데이트코스 #방탈출 #실내놀거리 #실내체험 #아이와놀자 #아이와체험 #아이와함께 #이색데이트,주차
24,창덕궁 후원,"고궁,궁",서울 종로구 율곡로 99 (우)03072,화~일 10:00 ~ 17:30,www.cdg.go.kr,None,#나들이 #단풍명소 #벚꽃명소 #이동약자접근,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
25,보신각터,문화유적,서울 종로구 종로 54 (우)03189,None,tour.jongno.go.kr/tour/tour/indvdlz/view.do?nttId=26981&searchCnd=&searchWrd=&menuNo=2010&sdate=&edate=&viewType=1&preview=&groupId=&setCategory=&groupId=&campaignId=184&categoryId=&dongCode=&subway=&pageIndex=3&campaignId=184,None,#나들이 #일출명소,none
26,경희궁,"고궁,궁",서울 종로구 새문안로 45 (우)03177,화~일 10:00 ~ 18:00,www.museum.seoul.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok,02-724-0274,#나들이 #단풍명소 #산책로,주차
27,광장시장 전골목,먹자골목,서울 종로구 종로4가,None,None,None,#나들이,none
28,운현궁,"고궁,궁",서울 종로구 삼일대로 464 (우)03131,화~일 09:00 ~ 19:00 (입장마감 18:30),www.unhyeongung.or.kr,02-766-9090,#나들이 #단풍명소 #벚꽃명소 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
29,인사동 문화의거리,테마거리,서울 종로구 인사동10길 11-4 (우)03146,None,None,None,#나들이 #벚꽃명소,none
30,서울 한양도성 인왕산구간4코스,서울한양도성,서울 종로구 누상동,None,seoulcitywall.seoul.go.kr,None,#걷기좋은,none
31,광화문광장 이순신 장군 동상,동상,서울 종로구 세종로 1-68,None,None,None,None,none
32,백사실계곡,계곡,서울 종로구 부암동 115,None,None,02-2148-2854,#나들이 #단풍명소 #물놀이,none
33,창경궁 대온실,"수목원,식물원",서울 종로구 창경궁로 185 (우)03072,매일 09:00 ~ 18:00,cgg.cha.go.kr,None,#나들이 #단풍명소 #벚꽃명소 #포토존,none
34,북악산,산,서울 종로구 삼청동 산 2-27,None,None,02-731-0395,#봄나들이 #산책로,none
35,혜화문,문,서울 종로구 창경궁로 307 (우)03076,None,None,None,#나들이,none
36,광화문광장 세종대왕동상,동상,서울 종로구 세종로 1-68,None,None,None,None,none
37,딜쿠샤,문화유적,서울 종로구 사직로2길 17 (우)03026,화~일 09:00 ~ 18:00 (입장시간 09:00~17:30),None,070-4126-8853,#비올때아이랑 #아이와체험 #역사문화관,"WIFI, 동물출입, 주차, 휠체어사용"
38,창덕궁 돈화문,문,서울 종로구 율곡로 99 (우)03072,매일 09:00 ~ 18:00,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=35&check_no=8&c_relation=4&c_relation2=66,None,#나들이 #단풍명소 #벚꽃명소 #포토존,주차
