,place_name,place_link,place_page
0,경복궁,https://place.map.kakao.com/18619553,https://www.royalpalace.go.kr/
1,청와대 본관,https://place.map.kakao.com/1917455244,https://www.opencheongwadae.kr/
2,북한산둘레길 6구간평창마을길,https://place.map.kakao.com/12544579,http://www.knps.or.kr/portal/dulegil/bukhansan/index.do
3,북촌한옥마을,https://place.map.kakao.com/781129546,http://bukchon.seoul.go.kr/
4,광화문,https://place.map.kakao.com/8234642,none
5,광화문광장,https://place.map.kakao.com/8193961,https://gwanghwamun.seoul.go.kr/
6,청계천,https://place.map.kakao.com/10849847,http://www.sisul.or.kr/open_content/cheonggye/
7,창덕궁,https://place.map.kakao.com/10771162,https://www.cdg.go.kr/default.jsp
8,인사동거리,https://place.map.kakao.com/8053121,http://www.insadong.info/
9,쌈지길,https://place.map.kakao.com/7984319,http://blog.naver.com/ssamzigil
10,흥인지문,https://place.map.kakao.com/8638884,none
11,창경궁,https://place.map.kakao.com/11156260,http://cgg.cha.go.kr/
12,석파정,https://place.map.kakao.com/11141124,http://www.seoulmuseum.org/
13,인왕산 수성동계곡,https://place.map.kakao.com/17990926,none
14,인왕산,https://place.map.kakao.com/10740679,none
15,열린송현녹지광장,https://place.map.kakao.com/1356925875,none
16,익선동한옥거리,https://place.map.kakao.com/467710256,none
17,돈의문박물관마을,https://place.map.kakao.com/219411423,http://www.dmvillage.info/
18,서촌한옥마을,https://place.map.kakao.com/18937478,none
19,종묘,https://place.map.kakao.com/8075129,http://jm.cha.go.kr/
20,다이나믹메이즈 서울인사동점,https://place.map.kakao.com/27215154,none
21,창덕궁 후원,https://place.map.kakao.com/7813428,https://www.cdg.go.kr/
22,보신각터,https://place.map.kakao.com/7899027,http://tour.jongno.go.kr/tour/tour/indvdlz/view.do?nttId=26981&searchCnd=&searchWrd=&menuNo=2010&sdate=&edate=&viewType=1&preview=&groupId=&setCategory=&groupId=&campaignId=184&categoryId=&dongCode=&subway=&pageIndex=3&campaignId=184
23,경희궁,https://place.map.kakao.com/10166255,http://www.museum.seoul.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok
24,광장시장 전골목,https://place.map.kakao.com/101141684,none
25,운현궁,https://place.map.kakao.com/8465462,http://www.unhyeongung.or.kr/
26,인사동 문화의거리,https://place.map.kakao.com/21273056,none
27,서울 한양도성 인왕산구간4코스,https://place.map.kakao.com/18741275,http://seoulcitywall.seoul.go.kr/
28,광화문광장 이순신 장군 동상,https://place.map.kakao.com/17807114,none
29,백사실계곡,https://place.map.kakao.com/7891659,none
30,창경궁 대온실,https://place.map.kakao.com/11002870,http://cgg.cha.go.kr/
31,북악산,https://place.map.kakao.com/8342732,none
32,혜화문,https://place.map.kakao.com/8683748,none
33,광화문광장 세종대왕동상,https://place.map.kakao.com/17557685,none
34,딜쿠샤,https://place.map.kakao.com/19182821,none
35,창덕궁 돈화문,https://place.map.kakao.com/8263988,https://www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=35&check_no=8&c_relation=4&c_relation2=66
36,삼청동거리,https://place.map.kakao.com/8383806,none
37,동대문생선구이골목,https://place.map.kakao.com/7843397,none
38,창의문,https://place.map.kakao.com/8578705,none
39,가회동백인제가옥,https://place.map.kakao.com/7887672,none
40,청와대 춘추문,https://place.map.kakao.com/1855872490,none
41,청와대 영빈관,https://place.map.kakao.com/1916745171,none
42,동대문닭한마리골목,https://place.map.kakao.com/12706273,none
43,세검정터,https://place.map.kakao.com/7956514,none
44,사직단,https://place.map.kakao.com/7909242,"http://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,01210000,11"
45,성균관,https://place.map.kakao.com/17091814,http://www.skk.or.kr/
46,홍화문,https://place.map.kakao.com/10972261,none
47,인왕산 숲속쉼터,https://place.map.kakao.com/1853028181,none
48,경교장,https://place.map.kakao.com/10173252,https://korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=945824
49,명륜당,https://place.map.kakao.com/7870738,none
50,이화장,https://place.map.kakao.com/8048490,none
51,평화의소녀상,https://place.map.kakao.com/18685563,none
52,숙정문,https://place.map.kakao.com/7958336,https://www.chf.or.kr/cms/content/view/260
